2116,2962
von 1576,801,48,13
Haus 1633,793,66,21
Hermann, 1709,793,126,26
der 1845,793,40,21
sich 1894,794,48,20
als 1400,827,33,21
Zauberkünstler 1458,827,196,21
unter 1678,832,69,16
dem 1772,827,53,21
Namen 1849,828,91,21
Swisasso 1402,861,108,21
vielseitig 1534,861,114,28
und 1670,862,48,20
wie 1742,862,41,20
ein 1807,862,35,20
«ganz 1868,869,73,20
Großer» 1402,895,104,21
bewährte. 1518,895,125,21
<EOS>
An 1429,929,36,21
der 1491,929,39,21
HauptoersammZung 1554,930,245,27
fand 1823,930,55,21
ein 1904,930,36,21
kräftiger 1400,964,111,27
Schub 1538,963,77,21
in 1641,964,23,20
der 1691,964,39,21
Vereinsleitung 1755,964,186,27
statt, 1400,1002,67,20
nicht 1488,997,66,22
als 1576,997,31,21
Folge 1629,997,69,27
einer 1720,997,61,22
Kabinetts- 1803,997,137,22
krise, 1399,1031,67,25
sondern 1485,1031,100,21
einfach 1602,1031,90,21
deshalb, 1711,1031,103,25
weil 1832,1031,50,21
der 1901,1031,39,21
Präsident 1400,1065,122,21
Dr. 1543,1065,40,20
<EOS>
Leugger 1594,1065,104,28
und 1718,1065,48,21
der 1788,1065,39,21
Aktuar 1848,1065,92,21
0. 1400,1099,26,21
<EOS>
Rutishauser 1438,1099,155,21
fanden, 1604,1099,94,25
es 1711,1107,22,13
sei 1745,1100,31,20
an 1789,1107,30,13
der 1830,1100,40,20
Zeit, 1882,1100,58,24
daß 1400,1133,44,21
auch 1468,1133,59,21
andere 1550,1133,84,21
ein 1657,1134,36,20
Anrecht 1715,1133,104,21
auf 1842,1133,41,21
die 1903,1134,37,21
Würde 1399,1167,87,21
und 1499,1167,49,21
Freuden 1562,1167,105,21
von 1681,1174,48,14
Vereinschargen 1742,1167,197,28
hätten, 1399,1201,90,24
und 1500,1201,49,21
daß 1563,1201,45,21
neue 1621,1209,59,13
Gesichter 1693,1201,119,22
dem 1824,1201,52,22
wei- 1887,1201,51,22
tern 1399,1240,52,16
Gedeihen 1466,1235,117,21
des 1596,1235,39,21
Vereins 1648,1235,94,21
förderlich 1754,1235,124,21
